date,days,US_cases,US_death,NY_cases,NY_death,NJ_cases,NJ_death,Cali_cases,Cali_death,Texas_cases,Texas_death,Florida_cases,Florida_death,case_sum,ny_nj,tx_flo_cali,half_US
1/21/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1/22/2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1/23/2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1/24/2020,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/25/2020,5,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.5
1/26/2020,6,5,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2.5
1/27/2020,7,5,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2.5
1/28/2020,8,5,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2.5
1/29/2020,9,5,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2.5
1/30/2020,10,6,0,0,0,0,0,2,0,0,0,0,0,2,0,2,3
1/31/2020,11,7,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3.5
2/1/2020,12,8,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4
2/2/2020,13,11,0,0,0,0,0,6,0,0,0,0,0,6,0,6,5.5
2/3/2020,14,11,0,0,0,0,0,6,0,0,0,0,0,6,0,6,5.5
2/4/2020,15,11,0,0,0,0,0,6,0,0,0,0,0,6,0,6,5.5
2/5/2020,16,12,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6
2/6/2020,17,12,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6
2/7/2020,18,12,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6
2/8/2020,19,12,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6
2/9/2020,20,12,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6
2/10/2020,21,13,0,0,0,0,0,7,0,0,0,0,0,7,0,7,6.5
2/11/2020,22,13,0,0,0,0,0,7,0,0,0,0,0,7,0,7,6.5
2/12/2020,23,14,0,0,0,0,0,7,0,1,0,0,0,8,0,8,7
2/13/2020,24,15,0,0,0,0,0,7,0,2,0,0,0,9,0,9,7.5
2/14/2020,25,15,0,0,0,0,0,7,0,2,0,0,0,9,0,9,7.5
2/15/2020,26,15,0,0,0,0,0,7,0,2,0,0,0,9,0,9,7.5
2/16/2020,27,15,0,0,0,0,0,7,0,2,0,0,0,9,0,9,7.5
2/17/2020,28,25,0,0,0,0,0,7,0,2,0,0,0,9,0,9,12.5
2/18/2020,29,25,0,0,0,0,0,7,0,2,0,0,0,9,0,9,12.5
2/19/2020,30,25,0,0,0,0,0,7,0,2,0,0,0,9,0,9,12.5
2/20/2020,31,27,0,0,0,0,0,8,0,2,0,0,0,10,0,10,13.5
2/21/2020,32,30,0,0,0,0,0,9,0,4,0,0,0,13,0,13,15
2/22/2020,33,30,0,0,0,0,0,9,0,4,0,0,0,13,0,13,15
2/23/2020,34,30,0,0,0,0,0,9,0,4,0,0,0,13,0,13,15
2/24/2020,35,43,0,0,0,0,0,11,0,10,0,0,0,21,0,21,21.5
2/25/2020,36,45,0,0,0,0,0,11,0,10,0,0,0,21,0,21,22.5
2/26/2020,37,60,0,0,0,0,0,26,0,10,0,0,0,36,0,36,30
2/27/2020,38,60,0,0,0,0,0,26,0,10,0,0,0,36,0,36,30
2/28/2020,39,65,0,0,0,0,0,27,0,11,0,0,0,38,0,38,32.5
2/29/2020,40,70,1,0,0,0,0,28,0,11,0,0,0,39,0,39,35
3/1/2020,41,88,3,1,0,0,0,33,0,11,0,2,0,47,1,46,44
3/2/2020,42,104,6,1,0,0,0,38,0,11,0,2,0,52,1,51,52
3/3/2020,43,125,10,2,0,0,0,45,0,11,0,3,0,61,2,59,62.5
3/4/2020,44,161,12,11,0,1,0,55,1,12,0,3,0,82,12,70,80.5
3/5/2020,45,228,12,22,0,2,0,67,1,16,0,4,0,111,24,87,114
3/6/2020,46,311,15,44,0,4,0,81,1,19,0,7,2,155,48,107,155.5
3/7/2020,47,428,19,89,0,4,0,100,1,19,0,12,2,224,93,131,214
3/8/2020,48,547,22,106,0,6,0,112,1,23,0,13,2,260,112,148,273.5
3/9/2020,49,748,26,142,0,11,0,172,2,24,0,14,2,363,153,210,374
3/10/2020,50,1018,31,173,0,15,1,179,3,31,0,23,2,421,188,233,509
3/11/2020,51,1263,37,217,0,23,1,202,4,33,0,26,2,501,240,261,631.5
3/12/2020,52,1668,43,326,0,29,1,252,4,41,0,46,2,694,355,339,834
3/13/2020,53,2224,50,421,0,50,1,320,5,58,0,70,2,919,471,448,1112
3/14/2020,54,2898,60,610,2,75,2,381,5,69,0,70,3,1205,685,520,1449
3/15/2020,55,3600,68,732,6,98,2,478,6,80,0,109,3,1497,830,667,1800
3/16/2020,56,4507,91,950,10,176,3,588,11,87,1,141,4,1942,1126,816,2253.5
3/17/2020,57,5906,117,1375,18,268,3,732,14,106,1,210,6,2691,1643,1048,2953
3/18/2020,58,8350,162,2387,32,427,5,893,17,166,2,326,7,4199,2814,1385,4175
3/19/2020,59,12393,212,4161,39,735,9,1067,19,248,4,434,8,6645,4896,1749,6196.5
3/20/2020,60,18012,277,7113,68,896,11,1283,24,386,5,564,9,10242,8009,2233,9006
3/21/2020,61,24528,360,10371,95,1336,16,1544,28,547,5,764,11,14562,11707,2855,12264
3/22/2020,62,33073,458,15188,142,1914,20,1851,35,639,7,1000,13,20592,17102,3490,16536.5
3/23/2020,63,43505,579,20899,183,2844,27,2240,39,728,7,1222,18,27933,23743,4190,21752.5
3/24/2020,64,53938,785,25704,264,3675,44,2644,52,857,11,1467,20,34347,29379,4968,26969
3/25/2020,65,68572,1054,33117,381,4402,62,3183,68,1132,13,1971,23,43805,37519,6286,34286
3/26/2020,66,85570,1353,39058,502,6876,82,4060,83,1542,21,2478,29,54014,45934,8080,42785
3/27/2020,67,102900,1770,44746,645,8825,108,4915,104,1971,25,3198,46,63655,53571,10084,51450
3/28/2020,68,123966,2300,53517,935,11124,140,5566,122,2381,30,4038,56,76626,64641,11985,61983
3/29/2020,69,142486,2718,59783,1180,13386,161,6321,132,2722,35,4943,60,87155,73169,13986,71243
3/30/2020,70,163955,3368,67504,1512,16636,199,7421,147,3065,46,5695,72,100321,84140,16181,81977.5
3/31/2020,71,188461,4304,76211,1929,18696,267,8583,184,3588,57,6742,85,113820,94907,18913,94230.5
4/1/2020,72,215391,5325,84364,2415,22255,355,9857,212,4402,65,7769,100,128647,106619,22028,107695.5
4/2/2020,73,245108,6541,93360,2963,25590,539,11190,247,4952,80,9000,144,144092,118950,25142,122554
4/3/2020,74,277426,7932,103689,3716,29895,647,12569,282,5773,98,10260,169,162186,133584,28602,138713
4/4/2020,75,312525,9488,115963,4535,34124,847,13796,323,6566,124,11537,194,181986,150087,31899,156262.5
