date,US_cases,NY_cases,NJ_cases,Cali_cases,Texas_cases,Florida_cases,case_sum,ny_nj,tx_flo_cali,half_US
3/11/2020,1263,217,23,202,33,26,501,240,261,631.5
3/12/2020,1668,326,29,252,41,46,694,355,339,834
3/13/2020,2224,421,50,320,58,70,919,471,448,1112
3/14/2020,2898,610,75,381,69,70,1205,685,520,1449
3/15/2020,3600,732,98,478,80,109,1497,830,667,1800
3/16/2020,4507,950,176,588,87,141,1942,1126,816,2253.5
3/17/2020,5906,1375,268,732,106,210,2691,1643,1048,2953
3/18/2020,8350,2387,427,893,166,326,4199,2814,1385,4175
3/19/2020,12393,4161,735,1067,248,434,6645,4896,1749,6196.5
3/20/2020,18012,7113,896,1283,386,564,10242,8009,2233,9006
3/21/2020,24528,10371,1336,1544,547,764,14562,11707,2855,12264
3/22/2020,33073,15188,1914,1851,639,1000,20592,17102,3490,16536.5
3/23/2020,43505,20899,2844,2240,728,1222,27933,23743,4190,21752.5
3/24/2020,53938,25704,3675,2644,857,1467,34347,29379,4968,26969
3/25/2020,68572,33117,4402,3183,1132,1971,43805,37519,6286,34286
3/26/2020,85570,39058,6876,4060,1542,2478,54014,45934,8080,42785
3/27/2020,102900,44746,8825,4915,1971,3198,63655,53571,10084,51450
3/28/2020,123966,53517,11124,5566,2381,4038,76626,64641,11985,61983
3/29/2020,142486,59783,13386,6321,2722,4943,87155,73169,13986,71243
3/30/2020,163955,67504,16636,7421,3065,5695,100321,84140,16181,81977.5
3/31/2020,188461,76211,18696,8583,3588,6742,113820,94907,18913,94230.5
4/1/2020,215391,84364,22255,9857,4402,7769,128647,106619,22028,107695.5
4/2/2020,245108,93360,25590,11190,4952,9000,144092,118950,25142,122554
4/3/2020,277426,103689,29895,12569,5773,10260,162186,133584,28602,138713
4/4/2020,312525,115963,34124,13796,6566,11537,181986,150087,31899,156262.5
4/5/2020,338141,124085,37505,15202,7117,12342,196251,161590,34661,169070.5
4/6/2020,369056,133389,41090,16361,8150,13621,212611,174479,38132,184528
4/7/2020,399394,141703,44416,17540,8968,14739,227366,186119,41247,199697
