date,US_cases,NY_cases,NJ_cases,Cali_cases,Texas_cases,Florida_cases,case_sum,ny_nj,tx_flo_cali,half_US
3/11/2020,1263,217,23,202,33,26,501,240,261,631.5
3/13/2020,2224,421,50,320,58,70,919,471,448,1112
3/15/2020,3600,732,98,478,80,109,1497,830,667,1800
3/17/2020,5906,1375,268,732,106,210,2691,1643,1048,2953
3/19/2020,12393,4161,735,1067,248,434,6645,4896,1749,6196.5
3/21/2020,24528,10371,1336,1544,547,764,14562,11707,2855,12264
3/23/2020,43505,20899,2844,2240,728,1222,27933,23743,4190,21752.5
3/25/2020,68572,33117,4402,3183,1132,1971,43805,37519,6286,34286
3/27/2020,102900,44746,8825,4915,1971,3198,63655,53571,10084,51450
3/29/2020,142486,59783,13386,6321,2722,4943,87155,73169,13986,71243
3/31/2020,188461,76211,18696,8583,3588,6742,113820,94907,18913,94230.5
4/2/2020,245108,93360,25590,11190,4952,9000,144092,118950,25142,122554
4/4/2020,312525,115963,34124,13796,6566,11537,181986,150087,31899,156262.5
4/6/2020,369056,133389,41090,16361,8150,13621,212611,174479,38132,184528
4/8/2020,431213,151271,47437,19043,9897,15690,243338,198708,44630,215606.5
4/10/2020,499381,172830,54588,21366,12291,17960,279035,227418,51617,249690.5
4/11/2020,531106,182990,58151,22421,13208,18978,295748,241141,54607,265553
4/13/2020,584018,197973,64584,24334,14487,21011,322389,262557,59832,292009
4/15/2020,640742,217130,71030,27107,16106,22526,353899,288160,65739,320371
4/17/2020,703862,233293,78467,29398,18131,24745,384034,311760,72274,351931
4/19/2020,757596,246741,85301,31544,19441,26306,409333,332042,77291,378798
4/21/2020,810434,255932,92387,35844,20949,27861,432973,348319,84654,405217
4/23/2020,873039,267932,99989,39534,22706,29640,459801,367921,91880,436519.5
4/25/2020,944184,286901,105523,42590,24494,30831,490339,392424,97915,472092
4/27/2020,994110,296991,111188,45208,25963,32130,511480,408179,103301,497055
4/29/2020,1045298,304994,116264,48904,27839,33185,531186,421258,109928,522649
5/1/2020,1109601,313575,121190,52318,30342,34720,552145,434765,117380,554800.5
5/3/2020,1165215,321833,126744,55072,32299,36070,572018,448577,123441,582607.5
5/5/2020,1210881,326659,130593,58848,34286,37431,587817,457252,130565,605440.5
5/7/2020,1263839,332931,133635,62481,36682,38820,604549,466566,137983,631919.5
5/9/2020,1316351,338519,137085,66824,38849,39993,621270,475604,145666,658175.5
5/11/2020,1354286,342267,139945,69514,40988,40974,633688,482212,151476,677143
5/13/2020,1397726,345828,141560,73218,43822,42394,646822,487388,159434,698863
5/15/2020,1450910,350951,143905,77015,46987,44130,662988,494856,168132,725455
5/17/2020,1493583,355037,146334,80366,48828,45580,676145,501371,174774,746791.5
5/19/2020,1536371,357757,149013,83981,51080,46936,688767,506770,181997,768185.5
5/21/2020,1585168,361313,151472,88488,53441,48667,703381,512785,190596,792584
5/23/2020,1631229,364745,153104,92815,55451,50119,716234,517849,198385,815614.5
5/25/2020,1670360,367625,155092,97017,56490,51738,727962,522717,205245,835180
5/27/2020,1707987,369801,156628,101873,59105,52626,740033,526429,213604,853993.5
5/29/2020,1755003,373108,158844,107043,62073,54489,755557,531952,223605,877501.5
5/31/2020,1799035,375575,160445,113114,64974,56155,770263,536020,234243,899517.5
6/2/2020,1841713,377881,161545,118081,67966,57439,782912,539426,243486,920856.5
6/4/2020,1883308,379977,162530,122917,71330,60175,796929,542507,254422,941654
6/6/2020,1934522,382102,163893,129147,75077,62750,812969,545995,266974,967261
6/8/2020,1971337,383591,164497,134287,77326,64896,824597,548088,276509,985668.5
6/10/2020,2013296,384945,165346,140139,81771,67363,839564,550291,289273,1006648
6/12/2020,2061992,386490,166164,147285,86031,70963,856933,552654,304279,1030996
6/14/2020,2106456,388096,166881,152953,89542,75560,873032,554977,318055,1053228
6/16/2020,2151452,389349,167426,159131,95973,80101,891980,556775,335205,1075726
6/18/2020,2205155,390536,168107,167135,102677,85918,914373,558643,355730,1102577.5
6/20/2020,2268019,392037,168834,174854,111594,93789,941108,560871,380237,1134009.5
6/22/2020,2324854,393257,169415,184620,119646,100209,967147,562672,404475,1162427
6/24/2020,2396913,394430,169892,195889,131310,109006,1000527,564322,436205,1198456.5
6/26/2020,2483560,395972,172438,207027,142582,122952,1040971,568410,472561,1241780
6/28/2020,2565007,397293,173036,216955,152437,141067,1080788,570329,510459,1282503.5
6/30/2020,2653278,398142,173521,232153,166703,152426,1122945,571663,551282,1326639
7/2/2020,2758807,399642,174212,248198,182260,169098,1173410,573854,599556,1379403.5
7/4/2020,2866013,401286,174889,265176,195707,190044,1227102,576175,650927,1433006.5
7/6/2020,2958080,402338,175467,277869,209350,206439,1271463,577805,693658,1479040
7/8/2020,3071663,403619,175986,296304,229116,223775,1328800,579605,749195,1535831.5
7/10/2020,3199790,404997,176575,311505,249948,244143,1387168,581572,805596,1599895
7/12/2020,3318347,406403,177245,327676,264811,269803,1445938,583648,862290,1659173.5
7/14/2020,3445483,407875,177862,346593,284638,291621,1508589,585737,922852,1722741.5
7/16/2020,3588462,409476,178475,364761,310489,315767,1578968,587951,991017,1794231
